Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Keegan Lowe,2,121,4,19,16,23,1,2,0,0,2,0,3,212,7,54,24,61
Masi Marjamaki,2,153,15,33,4,48,1,1,0,0,0,0,3,179,50,70,6,120
Milan Kytnar,2,91,14,18,1,32,1,1,0,0,0,0,3,172,50,76,4,126
Damon Severson,1,2,0,2,0,2,1,51,5,12,0,17,3,125,11,43,3,54
Derrick Pouliot,1,31,7,17,0,24,1,34,2,5,0,7,3,145,16,74,5,90
Griffin Reinhart,1,59,7,15,0,22,1,8,0,1,0,1,3,105,18,43,3,61
Nolan Yonkman,14,725,21,79,75,100,7,76,1,9,7,10,4,255,12,26,21,38
Blair Jones,9,416,103,169,21,272,8,132,7,10,3,17,4,249,61,112,9,173
Vernon Fiddler,5,204,34,57,6,91,12,736,90,145,17,235,4,267,85,100,11,185
Brett Sutter,8,538,91,139,27,230,7,60,2,8,4,10,4,254,58,80,12,138
Brian Sutherby,6,58,4,18,7,22,9,460,41,49,49,90,4,208,79,99,21,178
Jeff Woywitka,7,274,16,96,8,112,7,278,9,46,5,55,4,268,41,99,13,140
Zach Boychuk,7,335,129,158,2,287,7,127,12,18,0,30,4,237,110,161,1,271
Adam Cracknell,9,415,97,123,9,220,5,82,6,11,0,17,4,283,94,119,14,213
Colin Fraser,5,286,53,72,42,125,9,359,20,38,31,58,4,269,74,140,59,214
Jim Vandermeer,5,230,15,40,28,55,9,461,25,80,45,105,4,248,34,100,53,134
Brendan Mikkelson,8,329,35,92,8,127,5,131,1,9,3,10,4,226,16,54,9,70
Troy Bodie,8,381,56,54,75,110,5,159,9,12,26,21,4,250,64,65,38,129
Jeremy Williams,7,328,138,124,4,262,5,32,9,2,0,11,4,174,99,108,1,207
Kyle Wanvig,7,394,114,131,49,245,5,75,6,9,4,15,4,266,107,98,29,205
Kris Beech,5,226,89,122,0,211,7,198,25,42,0,67,4,232,90,164,1,254
Boyd Gordon,3,103,21,41,0,62,11,628,53,103,1,156,4,260,77,130,4,207
Colby Armstrong,4,243,34,55,8,89,8,476,89,120,13,209,4,205,76,109,10,185
Gilbert Brule,4,93,33,31,6,64,8,299,43,52,4,95,4,165,87,98,8,185
Jeff Schultz,4,164,7,34,1,41,8,408,11,65,1,76,4,262,22,85,1,107
Dane Byers,10,564,128,177,95,305,3,14,1,0,4,1,4,236,49,50,39,99
Jeremy Colliton,6,325,77,125,4,202,5,57,3,3,0,6,4,229,71,105,5,176
Jon Blum,6,336,42,137,2,179,5,110,7,17,0,24,4,248,49,155,3,204
Rob Klinkhammer,6,396,82,129,8,211,5,179,21,21,2,42,4,230,57,67,10,124
Dustin Byfuglien,3,123,26,48,7,74,10,597,133,211,12,344,4,189,48,94,12,142
Matt Kassian,7,231,10,12,69,22,4,76,4,1,23,5,4,245,17,19,66,36
Zack Smith,4,171,46,57,22,103,7,319,39,39,27,78,4,221,41,68,26,109
Barret Jackman,2,76,2,12,23,14,13,803,28,153,55,181,4,234,28,111,57,139
Keith Aulie,5,138,8,17,11,25,5,167,4,10,15,14,4,234,12,49,9,61
Nigel Dawes,5,232,117,116,4,233,5,212,39,45,2,84,4,245,159,113,3,272
Justin Falk,4,228,7,26,10,33,6,147,2,17,12,19,4,191,7,44,9,51
Keaton Ellerby,4,191,14,49,0,63,6,212,4,23,3,27,4,266,6,54,19,60
Rick Rypien,4,108,15,22,20,37,6,119,9,7,29,16,4,179,47,67,31,114
Cody McLeod,3,132,21,19,34,40,8,549,57,46,109,103,4,257,69,68,53,137
Ian White,3,108,12,52,1,64,8,503,45,134,5,179,4,246,77,145,1,222
Kris Versteeg,3,139,46,81,10,127,8,473,116,159,9,275,4,264,62,105,9,167
Nate Thompson,3,216,35,45,21,80,8,471,44,59,16,103,4,253,55,88,6,143
Dan Hamhuis,2,136,12,42,2,54,11,814,52,238,9,290,4,247,34,122,13,156
Jordin Tootoo,2,92,19,26,15,45,11,607,59,90,88,149,4,220,93,116,51,209
Travis Moen,2,84,2,4,12,6,11,724,59,75,76,134,4,181,27,31,30,58
Brandon Sutter,3,36,6,12,0,18,7,495,98,87,6,185,4,205,68,86,4,154
Colby Robak,5,297,30,83,0,113,4,47,0,4,0,4,4,246,37,106,3,143
